%File: MA_CRP_09032023.CRS
%DIDACTA Italia:
%Exercise on: C.R.P. OpenLoop

%Test Date: 05/09/2000   User:                               

%Test #: 0

%Sample Rate: 1 s

%Notes: 


%----------
% #       time  Out.Sig  Act.Sig    Noise       SP      
%        [sec]      [%]      [%]      [%]      [%]      
511     512.0     22.0     27.0      0.0     50.0
512     513.0     22.0     27.0      0.0     50.0
513     514.0     22.1     27.0      0.0     50.0
514     515.0     22.2     27.0      0.0     50.0
515     516.0     22.0     27.0      0.0     50.0
516     517.0     22.0     27.0      0.0     50.0
517     518.0     22.0     27.0      0.0     50.0
518     519.0     22.0     27.0      0.0     50.0
519     520.0     22.0     27.0      0.0     50.0
520     521.0     22.1     27.0      0.0     50.0
521     522.0     22.0     27.0      0.0     50.0
522     523.0     22.0     27.0      0.0     50.0
523     524.0     22.0     27.0      0.0     50.0
524     525.0     22.0     27.0      0.0     50.0
525     526.0     22.0     27.0      0.0     50.0
526     527.0     21.9     27.0      0.0     50.0
527     528.0     22.1     27.0      0.0     50.0
528     529.0     21.9     27.0      0.0     50.0
529     530.0     21.9     27.0      0.0     50.0
530     531.0     21.9     27.0      0.0     50.0
531     532.0     22.0     27.0      0.0     50.0
532     533.0     22.1     27.0      0.0     50.0
533     534.0     22.0     27.0      0.0     50.0
534     535.0     22.0     27.0      0.0     50.0
535     536.0     21.9     27.0      0.0     50.0
536     537.0     21.9     27.0      0.0     50.0
537     538.0     22.0     27.0      0.0     50.0
538     539.0     22.1     27.0      0.0     50.0
539     540.0     22.0     27.0      0.0     50.0
540     541.0     22.0     27.0      0.0     50.0
541     542.0     22.0     27.0      0.0     50.0
542     543.0     22.0     27.0      0.0     50.0
543     544.0     22.0     27.0      0.0     50.0
544     545.0     21.9     27.0      0.0     50.0
545     546.0     21.9     27.0      0.0     50.0
546     547.0     21.9     27.0      0.0     50.0
547     548.0     22.1     27.0      0.0     50.0
548     549.0     21.9     27.0      0.0     50.0
549     550.0     22.0     27.0      0.0     50.0
550     551.0     22.0     27.0      0.0     50.0
551     552.0     22.1     24.0      0.0     50.0
552     553.0     24.3     24.0      0.0     50.0
553     554.0     28.4     24.0      0.0     50.0
554     555.0     31.8     24.0      0.0     50.0
555     556.0     34.1     24.0      0.0     50.0
556     557.0     36.3     24.0      0.0     50.0
557     558.0     38.1     24.0      0.0     50.0
558     559.0     39.5     24.0      0.0     50.0
559     560.0     40.8     24.0      0.0     50.0
560     561.0     42.0     24.0      0.0     50.0
561     562.0     43.0     24.0      0.0     50.0
562     563.0     43.8     24.0      0.0     50.0
563     564.0     44.6     24.0      0.0     50.0
564     565.0     45.1     24.0      0.0     50.0
565     566.0     45.7     24.0      0.0     50.0
566     567.0     46.2     24.0      0.0     50.0
567     568.0     46.5     24.0      0.0     50.0
568     569.0     46.9     24.0      0.0     50.0
569     570.0     47.3     24.0      0.0     50.0
570     571.0     47.5     24.0      0.0     50.0
571     572.0     47.7     24.0      0.0     50.0
572     573.0     47.9     24.0      0.0     50.0
573     574.0     48.0     24.0      0.0     50.0
574     575.0     48.2     24.0      0.0     50.0
575     576.0     48.3     24.0      0.0     50.0
576     577.0     48.5     24.0      0.0     50.0
577     578.0     48.6     24.0      0.0     50.0
578     579.0     48.6     24.0      0.0     50.0
579     580.0     48.8     24.0      0.0     50.0
580     581.0     48.8     24.0      0.0     50.0
